date,ticker,action,price,shares,cash_flow,drawdown,portfolio_value_before_trade,unrealized_gain_before_trade
2023-01-03,GOOGL,buy_down_25pct,88.33670043945312,0.001132032320683531,-0.1,-0.40522623605512753,1.0,
2023-01-03,GOOGL,buy_down_35pct,88.33670043945312,0.001132032320683531,-0.1,-0.40522623605512753,1.0,
2023-01-03,NVDA,buy_down_25pct,14.299908638000488,0.006993051671271564,-0.09999999999999998,-0.5706454094275467,1.0,
2023-01-17,NVDA,sell_gain_20pct,17.68334197998047,0.003496525835635782,0.06183026209338451,,1.073683030004121,0.2366052418676905
2023-01-17,NVDA,buy_down_35pct,17.68334197998047,0.003133164220339062,-0.05540481438769451,-0.4690578626781482,1.073683030004121,
2023-02-01,NVDA,sell_gain_30pct,20.92091941833496,0.0033148450279874217,0.06934960571479315,,1.1673943108669738,0.315871691775198
2023-02-01,TSM,buy_down_25pct,89.95340728759766,0.0006168433421208326,-0.055487160386438195,-0.31192194371991355,1.1673943108669738,
2023-02-02,GOOGL,sell_gain_20pct,106.79302978515625,0.001132032320683531,0.12089316134051588,,1.2167826558229773,0.20893161340515864
2023-02-21,TSM,buy_down_35pct,83.2121353149414,0.001364246715702708,-0.11352188231001813,-0.36348776491188384,1.1352188231001812,
2023-05-11,GOOGL,sell_gain_30pct,115.54542541503906,0.0005660161603417655,0.06540057803847625,,1.2709624892363065,0.30801156076952485
2023-05-17,NVDA,sell_near_prior_high,30.15130615234375,0.0033148450279874217,0.09994690728642323,,1.30711996334819,0.8964391307365474
2023-06-14,TSM,sell_gain_20pct,102.51415252685547,0.0009905450289117703,0.10154488417857968,,1.4520887378876324,0.2016503088649091
2023-08-30,GOOGL,sell_near_prior_high,134.6857147216797,0.0005660161603417655,0.07623429109965153,,1.48755928807422,0.5246858219930306
2024-01-24,TSM,sell_gain_30pct,112.78333282470703,0.0004952725144558852,0.05585848483680762,,1.69717918045335,0.32202357804323145
2024-02-07,TSM,sell_near_prior_high,120.97205352783203,0.0004952725144558852,0.0599141331296213,,1.7249781220071503,0.4180101176533684
2024-08-05,NVDA,buy_down_25pct,100.4015884399414,0.0017365664042532994,-0.17435402541846867,-0.25910904619917674,1.7435402541846865,
2024-08-15,NVDA,sell_near_prior_high,122.80079650878906,0.0017365664042532994,0.21325173763270894,,1.9231842638471994,0.2230961523307622
2025-03-06,NVDA,buy_down_25pct,110.53378295898438,0.0017958508419747533,-0.19850218719354673,-0.26005481603573344,1.985021871935467,
2025-03-28,GOOGL,buy_down_25pct,153.70489501953125,0.0012462213709406541,-0.19155032499152955,-0.25134354838877504,1.9155032499152953,
2025-03-28,TSM,buy_down_25pct,162.8469696044922,0.0011433807950710442,-0.18619609758129443,-0.26144659138533044,1.9155032499152953,
2025-05-14,NVDA,sell_near_prior_high,135.30810546875,0.0017958508419747533,0.2429931751320634,,2.150767793499107,0.22413348974908964
2025-06-04,TSM,sell_near_prior_high,199.4567413330078,0.0011433807950710442,0.22805500748761406,,2.1962804187381386,0.22481088728534582
2025-07-18,GOOGL,sell_gain_20pct,184.5335693359375,0.0006231106854703271,0.11498483888120214,,2.342173421960392,0.2005705433941376
2025-07-21,GOOGL,sell_near_prior_high,189.55923461914062,0.0006231106854703271,0.11811638462076327,,2.3568521891161174,0.23326738940261715
