,strategy2,QQQ
2019-01-02,1.0,1.0
2019-01-03,0.9673291400441506,0.9673291400441507
2019-01-04,1.00871601276106,1.00871601276106
2019-01-07,1.0207251656578984,1.0207251656578986
2019-01-08,1.029958237019002,1.029958237019002
2019-01-09,1.038352003919368,1.038352003919368
2019-01-10,1.041321866347317,1.041321866347317
2019-01-11,1.0375124930892037,1.037512493089204
2019-01-14,1.0283444280976928,1.0283444280976928
2019-01-15,1.0484245861106358,1.0484245861106358
2019-01-16,1.0482304956642814,1.0482304956642816
2019-01-17,1.0564951784878858,1.0564951784878858
2019-01-18,1.0669547033552986,1.0669547033552986
2019-01-22,1.0455833950205946,1.0455833950205946
2019-01-23,1.0469391389730933,1.0469391389730933
2019-01-24,1.0537187873980096,1.0537187873980096
2019-01-25,1.066308870232634,1.066308870232634
2019-01-28,1.0531376510907966,1.0531376510907966
2019-01-29,1.0431945657151453,1.0431945657151453
2019-01-30,1.0697311976298884,1.0697311976298884
2019-01-31,1.0857435046770534,1.0857435046770536
2019-02-01,1.0811590078500866,1.0811590078500866
2019-02-04,1.09458901425373,1.09458901425373
2019-02-05,1.1042738282911435,1.1042738282911435
2019-02-06,1.1009811008942194,1.1009811008942194
2019-02-07,1.08619514416865,1.0861951441686502
2019-02-08,1.0883258053205753,1.0883258053205753
2019-02-11,1.0872930295217658,1.0872930295217658
2019-02-12,1.1033701365690958,1.103370136569096
2019-02-13,1.1041446410296678,1.1041446410296678
2019-02-14,1.1055005913515938,1.1055005913515938
2019-02-15,1.1101491658857303,1.1101491658857303
2019-02-19,1.1123449365919615,1.1123449365919615
2019-02-20,1.1121510525150344,1.1121510525150344
2019-02-21,1.1080835111033975,1.1080835111033975
2019-02-22,1.1162830843726956,1.1162830843726959
2019-02-25,1.1203512448926145,1.1203512448926147
2019-02-26,1.1215132079528998,1.1215132079529
2019-02-27,1.1208030907536384,1.1208030907536384
2019-02-28,1.118220171001835,1.118220171001835
2019-03-01,1.125968001594823,1.125968001594823
2019-03-04,1.1261615761176091,1.1261615761176091
2019-03-05,1.1270013965019143,1.1270013965019143
2019-03-06,1.1208674882477845,1.1206090003072842
2019-03-07,1.1078740671987188,1.1068566448582335
2019-03-08,1.1078176450121628,1.105177829567332
2019-03-11,1.1310353480792403,1.128163256377486
2019-03-12,1.1353836436824958,1.1343619748646165
2019-03-13,1.1446212570794658,1.1428846194723175
2019-03-14,1.1429848937614135,1.140947636027892
2019-03-15,1.150083119747419,1.1515360386026396
2019-03-18,1.151478548000475,1.1542789978452968
2019-03-19,1.1547538711296448,1.158159981294675
2019-03-20,1.1603656921522556,1.1627523201598786
2019-03-21,1.1777187564557527,1.1809286170214741
2019-03-22,1.1511439367494785,1.1549906628152629
2019-03-25,1.1482170415637583,1.1527912806440541
2019-03-26,1.154815002998876,1.158159981294675
2019-03-27,1.1491865585884322,1.1507209825496076
2019-03-28,1.1524783884627599,1.1533731392442628
2019-03-29,1.1610270544733698,1.1621057647442186
2019-04-01,1.1775507937871599,1.1775000985414015
2019-04-02,1.1811181528579144,1.181963043775702
2019-04-03,1.1887792244031243,1.188755383920396
2019-04-04,1.1834526323412322,1.188302712581663
2019-04-05,1.1907532082220116,1.1944474654635604
2019-04-08,1.1932825996066256,1.1974874934967834
2019-04-09,1.1891068042472464,1.1932828196007206
2019-04-10,1.1959547883869759,1.1996868756679921
2019-04-11,1.1916940663663316,1.1968406285269826
2019-04-12,1.1964634279571282,1.2020154451006764
2019-04-15,1.1963786457673902,1.2022093291776035
2019-04-16,1.2017339281141748,1.206349306258215
2019-04-17,1.205294047295229,1.2105536706001367
2019-04-18,1.2071822903275897,1.2121058782474035
2019-04-22,1.2082977794796976,1.215534396727476
2019-04-23,1.223218189620612,1.2309934273401106
2019-04-24,1.2184637074521107,1.2271126502601597
2019-04-25,1.2209476401867265,1.2320931700180717
2019-04-26,1.2194475244537002,1.2331931190654601
2019-04-29,1.2245338489750939,1.2355861789441687
2019-04-30,1.2146252400954716,1.2260129075821982
2019-05-01,1.2089045703168155,1.2220670209479412
2019-05-02,1.2088006653636465,1.216763326666913
