,strategy2,QQQ
2019-01-02,1.0,1.0
2019-01-03,1.0,0.9673291400441507
2019-01-04,1.0,1.00871601276106
2019-01-07,1.0,1.0207251656578986
2019-01-08,1.0,1.029958237019002
2019-01-09,1.0,1.038352003919368
2019-01-10,1.0,1.041321866347317
2019-01-11,1.0,1.037512493089204
2019-01-14,1.0,1.0283444280976928
2019-01-15,1.0,1.0484245861106358
2019-01-16,1.0,1.0482304956642816
2019-01-17,1.0,1.0564951784878858
2019-01-18,1.0,1.0669547033552986
2019-01-22,1.0,1.0455833950205946
2019-01-23,1.0,1.0469391389730933
2019-01-24,1.0,1.0537187873980096
2019-01-25,1.0,1.066308870232634
2019-01-28,1.0,1.0531376510907966
2019-01-29,1.0,1.0431945657151453
2019-01-30,1.0,1.0697311976298884
2019-01-31,1.0,1.0857435046770536
2019-02-01,1.0,1.0811590078500866
2019-02-04,1.0,1.09458901425373
2019-02-05,1.0,1.1042738282911435
2019-02-06,1.0,1.1009811008942194
2019-02-07,1.0,1.0861951441686502
2019-02-08,1.0,1.0883258053205753
2019-02-11,1.0,1.0872930295217658
2019-02-12,1.0,1.103370136569096
2019-02-13,1.0,1.1041446410296678
2019-02-14,1.0,1.1055005913515938
2019-02-15,1.0,1.1101491658857303
2019-02-19,1.0,1.1123449365919615
2019-02-20,1.0,1.1121510525150344
2019-02-21,1.0,1.1080835111033975
2019-02-22,1.0,1.1162830843726959
2019-02-25,1.0,1.1203512448926147
2019-02-26,1.0,1.1215132079529
2019-02-27,1.0,1.1208030907536384
2019-02-28,1.0,1.118220171001835
2019-03-01,1.0,1.125968001594823
2019-03-04,1.0,1.1261615761176091
2019-03-05,1.0,1.1270013965019143
2019-03-06,0.9999457570599105,1.1206090003072842
2019-03-07,1.0000090370414205,1.1068566448582335
2019-03-08,1.0013741217206196,1.105177829567332
2019-03-11,1.0025999831984485,1.128163256377486
2019-03-12,1.0012330931801219,1.1343619748646165
2019-03-13,1.002245603921631,1.1428846194723175
2019-03-14,1.002426411997632,1.140947636027892
2019-03-15,0.9997993021562473,1.1515360386026396
2019-03-18,0.9987253167723557,1.1542789978452968
2019-03-19,0.9983600899420988,1.158159981294675
2019-03-20,0.9994684284983282,1.1627523201598786
2019-03-21,0.9995443665452968,1.1809286170214741
2019-03-22,0.997828518440427,1.1549906628152629
2019-03-25,0.997085411887346,1.1527912806440541
2019-03-26,0.9984143328821882,1.158159981294675
2019-03-27,0.9996908214489599,1.1507209825496076
2019-03-28,1.0003760743836965,1.1533731392442628
2019-03-29,1.0006002726734557,1.1621057647442186
2019-04-01,1.0022853834571344,1.1775000985414015
2019-04-02,1.0016887214619337,1.181963043775702
2019-04-03,1.0027609015066976,1.188755383920396
2019-04-04,0.9984161382213157,1.188302712581663
2019-04-05,0.9997143270678581,1.1944474654635604
2019-04-08,0.9993961063025061,1.1974874934967834
2019-04-09,0.9992351879942568,1.1932828196007206
2019-04-10,0.9999132092267002,1.1996868756679921
2019-04-11,0.9985318558037877,1.1968406285269826
2019-04-12,0.9984016748167296,1.2020154451006764
2019-04-15,0.9981630131223842,1.2022093291776035
2019-04-16,0.9994250382845699,1.206349306258215
2019-04-17,0.9990399216865612,1.2105536706001367
2019-04-18,0.9994069538559457,1.2121058782474035
2019-04-22,0.9975066869968199,1.215534396727476
2019-04-23,0.9977146113699741,1.2309934273401106
2019-04-24,0.996767191121994,1.2271126502601597
2019-04-25,0.9947729069601668,1.2320931700180717
2019-04-26,0.9925146423866315,1.2331931190654601
2019-04-29,0.9949950731472958,1.2355861789441687
2019-04-30,0.9939057271558389,1.2260129075821984
2019-05-01,0.992071852263611,1.2220670209479414
