idle_capital,first_level,levels,tranche_weight,total_target_weight_per_stock,final_value,total_return,cagr,annualized_volatility,sharpe,max_drawdown,trade_count,buy_count,sell_count
QQQ,0.3,30%/40%/50%/60%,0.15,0.6,18.487375321708637,17.487375321708637,0.474248044228857,0.353081315339868,1.2792571894487188,-0.5261858084448052,48,31,17
QQQ,0.3,30%/40%/50%/60%,0.075,0.3,11.70029989891205,10.70029989891205,0.387185078882778,0.29985279214734056,1.2451771935281095,-0.4727704828693403,58,38,20
QQQ,0.3,30%/40%/50%/60%,0.1,0.4,12.976182218649853,11.976182218649853,0.4064213576513567,0.31766833765804364,1.2360860056949443,-0.5140617756530517,53,35,18
cash,0.3,30%/40%/50%/60%,0.025,0.1,1.9279350220816314,0.9279350220816314,0.09127554991067344,0.0735628795412952,1.2279252108772556,-0.14378842163051342,62,41,21
cash,0.3,30%/40%/50%/60%,0.15,0.6,10.94989264867004,9.94989264867004,0.37500408925775486,0.2958449941605378,1.2267221124823142,-0.4958899406305417,48,31,17
cash,0.3,30%/40%/50%/60%,0.075,0.3,5.117283329145804,4.117283329145804,0.24263868161935243,0.19585874891345095,1.2100685220475658,-0.3533433988307034,59,39,20
QQQ,0.25,25%/35%/45%/55%,0.1,0.4,12.25146303597408,11.25146303597408,0.3957074866834436,0.32626222429554647,1.1884835178465316,-0.534774710588338,63,42,21
cash,0.3,30%/40%/50%/60%,0.1,0.4,6.567646156280357,5.567646156280357,0.2845902759535319,0.23542808632522033,1.1842354887020927,-0.42622605999387475,53,35,18
cash,0.3,30%/40%/50%/60%,0.05,0.2,3.2278984419507983,2.2278984419507983,0.16873737484611362,0.1408380052929884,1.1807877466929821,-0.2760672326775142,62,41,21
QQQ,0.3,30%/40%/50%/60%,0.05,0.2,8.594648672612575,7.594648672612575,0.33139982914515387,0.27805460772677476,1.1721673240700812,-0.4523613225823654,62,41,21
