base_asset,first_level,levels,tranche_weight,total_target_weight_per_stock,final_value,total_return,cagr,annualized_volatility,sharpe,max_drawdown,trade_count,buy_count,sell_count
QQQ,0.3,30%/40%/50%/60%,0.075,0.3,3.1054319992512482,2.1054319992512482,0.4188685252078226,0.26142359254799846,1.474907767693874,-0.2526697074052805,25,17,8
QQQ,0.3,30%/40%/50%/60%,0.1,0.4,3.4043900120351958,2.4043900120351958,0.4597099691933,0.2857613134754406,1.471701869640616,-0.2617824967553377,23,16,7
QQQ,0.3,30%/40%/50%/60%,0.05,0.2,2.8070816169154345,1.8070816169154345,0.37530261888246885,0.23756176749028873,1.4666836704453212,-0.2434256112429486,25,17,8
QQQ,0.25,25%/35%/45%/55%,0.05,0.2,2.7987698400134637,1.7987698400134637,0.374044019370084,0.24038477857708435,1.44847363297298,-0.2547702176804263,37,25,12
QQQ,0.25,25%/35%/45%/55%,0.075,0.3,3.070225163122021,2.070225163122021,0.41388241413171944,0.2653720072721705,1.443621817546281,-0.26944374623973855,37,25,12
QQQ,0.3,30%/40%/50%/60%,0.025,0.1,2.5133055841127487,1.5133055841127487,0.32915402963244467,0.21606707221368598,1.4316710902413192,-0.2355061944801331,25,17,8
QQQ,0.2,20%/30%/40%/50%,0.05,0.2,2.8868040989767865,1.8868040989767865,0.387245609482477,0.25280470894618856,1.4273268409644793,-0.2605690041385754,55,39,16
QQQ,0.25,25%/35%/45%/55%,0.025,0.1,2.5081522754274,1.5081522754274,0.328311995543056,0.217531796158065,1.4205718103335492,-0.23979367014274922,37,25,12
QQQ,0.15,15%/25%/35%/45%,0.05,0.2,2.901135233232045,1.9011352332320448,0.38936825936359853,0.2568965786215254,1.4147047708396752,-0.2743687257274946,85,58,27
QQQ,0.2,20%/30%/40%/50%,0.025,0.1,2.5512361989580707,1.5512361989580707,0.33531534278693353,0.22322741508729457,1.4135955103056992,-0.24344757797344863,55,39,16
QQQ,0.15,15%/25%/35%/45%,0.025,0.1,2.5696858847205375,1.5696858847205375,0.33828937168338613,0.22556065117776708,1.411228012076071,-0.24971094113183145,86,59,27
QQQ,0.25,25%/35%/45%/55%,0.1,0.4,3.132523855250598,2.132523855250598,0.4226788264243728,0.2802576244646023,1.4037308418362118,-0.2742846691252927,32,21,11
QQQ,0.3,30%/40%/50%/60%,0.15,0.6,3.6356841209003696,2.6356841209003696,0.4896367548988436,0.3226019818223662,1.400834747487279,-0.2739493565807478,18,13,5
QQQ,0.2,20%/30%/40%/50%,0.075,0.3,3.145487792759221,2.145487792759221,0.4244940690904677,0.2826297767932184,1.3986873081772124,-0.27892170620379575,49,34,15
QQQ,0.2,20%/30%/40%/50%,0.1,0.4,3.4659914401662943,2.4659914401662943,0.4678144737219845,0.3105575287991943,1.3961342796235912,-0.29175293960109294,46,32,14
QQQ,0.15,15%/25%/35%/45%,0.1,0.4,3.358802485985641,2.358802485985641,0.4536468043150621,0.30311925138786877,1.391274708226099,-0.31210673455508364,73,47,26
QQQ,0.1,10%/20%/30%/40%,0.025,0.1,2.547902047513358,1.5479020475133578,0.33477630372232015,0.22726402486780908,1.3907294907079317,-0.25488113462549367,133,89,44
QQQ,0.15,15%/25%/35%/45%,0.075,0.3,3.169013909686545,2.169013909686545,0.4277750897909123,0.2868358761227837,1.3906800710971283,-0.2971217053261286,79,52,27
QQQ,0.1,10%/20%/30%/40%,0.05,0.2,2.844187662259862,1.8441876622598619,0.38089014264846166,0.2594390694462437,1.3797319487385276,-0.2847452377563866,129,85,44
QQQ,0.1,10%/20%/30%/40%,0.1,0.4,3.2564405357923443,2.2564405357923443,0.4398223358096298,0.30301211401717976,1.3601235373356568,-0.3250671704387831,108,66,42
QQQ,0.25,25%/35%/45%/55%,0.15,0.6,3.5040869108711927,2.5040869108711927,0.47277673618279326,0.3274035276535253,1.3506571319979546,-0.30723489421866856,26,18,8
QQQ,0.1,10%/20%/30%/40%,0.075,0.3,3.0080089909983316,2.0080089909983316,0.40497363971460354,0.2838879937127161,1.3453648549867259,-0.30992030338201015,116,73,43
QQQ,0.1,10%/20%/30%/40%,0.15,0.6,3.492350625630873,2.492350625630873,0.47125197585153744,0.34052802276333327,1.3089514451146433,-0.3533864825797759,87,53,34
QQQ,0.2,20%/30%/40%/50%,0.15,0.6,3.6619225825727435,2.6619225825727435,0.492947744715589,0.35705796144144336,1.3042727031137527,-0.3342789397558268,35,25,10
QQQ,0.15,15%/25%/35%/45%,0.15,0.6,3.61219272232788,2.61219272232788,0.48665836934317674,0.35437811840111383,1.3001853137908084,-0.3615111581431377,55,36,19
