,strategy2_equity
2023-01-03,1.0
2023-01-04,1.0047640763142363
2023-01-05,0.9890353596170559
2023-01-06,1.016333807727527
2023-01-09,1.0229129216430075
2023-01-10,1.031571292710637
2023-01-11,1.049417769141582
2023-01-12,1.0550893053839914
2023-01-13,1.0623489848093775
2023-01-17,1.0645040696757788
2023-01-18,1.0506657473145038
2023-01-19,1.0403432876047474
2023-01-20,1.0688143571534794
2023-01-23,1.0925590287553058
2023-01-24,1.0903283516644477
2023-01-25,1.087908811757346
2023-01-26,1.1091199663908964
2023-01-27,1.120160316743195
2023-01-30,1.0975123211204794
2023-01-31,1.1139593994397934
2023-02-01,1.137780134245668
2023-02-02,1.1786148890542811
2023-02-03,1.1576680717165333
2023-02-06,1.147875346302463
2023-02-07,1.1716575785267216
2023-02-08,1.1508242672705566
2023-02-09,1.140653698479101
2023-02-10,1.133167124635447
2023-02-13,1.1513159699642186
2023-02-14,1.1598231565829347
2023-02-15,1.1687086575586279
2023-02-16,1.1467789058131481
2023-02-17,1.1386873586840454
2023-02-21,1.1117287223489354
2023-02-22,1.112560590052652
2023-02-23,1.1222779587320617
2023-02-24,1.1034864617505111
2023-02-27,1.1113885573388806
2023-02-28,1.1099515986048172
2023-03-01,1.1010284192617936
2023-03-02,1.1101408146557545
2023-03-03,1.1330915324109905
2023-03-06,1.134376953461447
2023-03-07,1.1204630388757153
2023-03-08,1.1260588651487702
2023-03-09,1.1065488888001878
2023-03-10,1.0910090349192512
2023-03-13,1.099100346558558
2023-03-14,1.1243573336291086
2023-03-15,1.1302557642897857
2023-03-16,1.1600500510012026
2023-03-17,1.1545674953199347
2023-03-20,1.1586650177671163
2023-03-21,1.1752135921884268
2023-03-22,1.1592329014097242
2023-03-23,1.1729792650057336
2023-03-24,1.1772963816875128
2023-03-27,1.1692301497114603
2023-03-28,1.163019812816226
2023-03-29,1.184226139908962
2023-03-30,1.19543533644486
2023-03-31,1.215316326966749
2023-04-03,1.2123628139476368
2023-04-04,1.208272944918819
2023-04-05,1.1963442093118082
2023-04-06,1.204410088053167
2023-04-10,1.2037285805840783
2023-04-11,1.196003220087468
2023-04-12,1.1854380881431241
2023-04-13,1.2086513770206937
2023-04-14,1.2063794892155681
2023-04-17,1.2074016326743033
2023-04-18,1.2074774603885559
2023-04-19,1.206909576745948
2023-04-20,1.1977076952295773
2023-04-21,1.1989572040861718
2023-04-24,1.196457833138289
2023-04-25,1.1738881378726818
2023-04-26,1.18100758312466
2023-04-27,1.2131202668758758
2023-04-28,1.221488985494653
2023-05-01,1.2200877034646553
2023-05-02,1.209446743806059
2023-05-03,1.2015322850034094
2023-05-04,1.1972909960358826
2023-05-05,1.222738847585941
2023-05-08,1.225768188319306
2023-05-09,1.2180053849451609
2023-05-10,1.2312591038883252
2023-05-11,1.2352731452028904
2023-05-12,1.2308425224395283
2023-05-15,1.2375074723855835
2023-05-16,1.2389087544155808
2023-05-17,1.253904391378389
2023-05-18,1.277193507970211
2023-05-19,1.2743154694306575
2023-05-22,1.2785947900002084
2023-05-23,1.2623868515685446
2023-05-24,1.2559113531632227
2023-05-25,1.2864715704355278
2023-05-26,1.319341471625187
2023-05-30,1.3253246786123576
2023-05-31,1.3177888874013783
2023-06-01,1.3330118897620458
2023-06-02,1.3430091380637816
2023-06-05,1.343955924787856
2023-06-06,1.3437289126246903
2023-06-07,1.3209318519612239
2023-06-08,1.3373288886989272
2023-06-09,1.342441018931378
2023-06-12,1.3651244557683637
2023-06-13,1.375613995488251
2023-06-14,1.3856113615348848
2023-06-15,1.4021221398439667
2023-06-16,1.393298690429471
2023-06-20,1.3913040918589177
2023-06-21,1.3723438664386653
2023-06-22,1.3885360270540097
2023-06-23,1.3747708242743353
2023-06-26,1.356341628343646
2023-06-27,1.3796624183130053
2023-06-28,1.3823548908934564
2023-06-29,1.3795867083436508
2023-06-30,1.400860150028194
2023-07-03,1.404159008832869
2023-07-05,1.4041213304655387
2023-07-06,1.3934278565824756
2023-07-07,1.3888015417987911
2023-07-10,1.3892565080843058
2023-07-11,1.3961198581833352
2023-07-12,1.4137528631143736
2023-07-13,1.4377566912364945
2023-07-14,1.437453144889689
2023-07-17,1.4508773584450232
2023-07-18,1.4627463973887949
2023-07-19,1.4624050549297611
2023-07-20,1.4286937486996547
2023-07-21,1.4244087763750044
2023-07-24,1.4266840787821693
2023-07-25,1.4363535252881305
2023-07-26,1.4315756728208393
2023-07-27,1.4281629546998877
2023-07-28,1.4541765704843919
2023-07-31,1.4549346121371205
2023-08-01,1.451559925618193
